ID,Pozo_DGA,Pozo,E,N,Tipo,Operador,Z,Profundidad,Info SNGM - Collar
84,Tarapacá 5,SNGM-PTA-0164,418735,7758351,Monitoreo,NN,1012,41.4,Collar
85,Tarapacá X,SNGM-PTA-0179,418815,7758354,Monitoreo,NN,1023.199,Sin información,SNGM
86,"Puquio, Buena Esperanza 1",SNGM-PTA-0229,464434,7732537,Monitoreo,NN,1290,21.82,Collar
87,HMC-1,SNGM-PTA-0230,443531,7756372,Monitoreo,NN,1072,254,Collar
88,Cumiñalla 494,SNGM-PTA-0232,443968,7756643,Bombeo,Aguas Nuevas,#N/D,130,Collar
89,HMC P-4,SNGM-PTA-0233,444135,7756745,Monitoreo,NN,1084,132,Collar
90,Santa Rosita p053,SNGM-PTA-0274,466225,7729996,Monitoreo,NN,1318.21,125.6,SNGM
91,San Martín p013,SNGM-PTA-0277,466290,7733033,Monitoreo,NN,1338.895,83,SNGM
92,Concova AdP,SNGM-PTA-0278,466805,7734341,Monitoreo,NN,1384.744,32,SNGM
93,San Martín p014,SNGM-PTA-0279,465560,7733107,Monitoreo,NN,1309.398,37.2,SNGM
94,MERK-2,SNGM-PTA-0289,423134,7789482,Monitoreo,NN,1108.522,86.6,SNGM
95,Pozo Almonte S-11,SNGM-PTA-0290,425149,7764278,Monitoreo,NN,1040.093,45.05,SNGM
96,Piezómetro N-1,SNGM-PTA-0298,454241,7697663,Monitoreo,NN,1032.726,Sin información,SNGM
97,Piezómetro N-5,SNGM-PTA-0299,449810,7696642,Monitoreo,NN,987.741,Sin información,SNGM
98,Piezómetro N-10,SNGM-PTA-0300,448812,7695657,Monitoreo,NN,977.637,Sin información,SNGM
99,Piezómetro R-1,SNGM-PTA-0301,452303,7695845,Monitoreo,NN,1005.759,Sin información,SNGM
100,Caja Los Héroes,SNGM-PTA-0309,443093,7740526,Monitoreo,NN,987.377,Sin información,SNGM
101,Pintados 237,SNGM-PTA-0310,432709,7726291,Monitoreo,NN,972.126,6,SNGM
102,Pintados 254,SNGM-PTA-0311,432323,7720573,Monitoreo,NN,969.83,Sin información,SNGM
103,Pintados 256,SNGM-PTA-0312,435285,7720323,Monitoreo,NN,974.068,158,SNGM
104,Chacarilla 326,SNGM-PTA-0313,465956,7716211,Monitoreo,NN,1284,882,Collar
105,Concova 219,SNGM-PTA-0314,468014,7735136,Monitoreo,NN,1473.135,Sin información,SNGM
106,Recreo 7-1,SNGM-PTA-0315,433055,7732965,Monitoreo,NN,981.167,Sin información,SNGM
107,XT-8,SNGM-PTA-0317,436059,7647759,Monitoreo,NN,755.749,Sin información,SNGM
108,Bellavista 286,SNGM-PTA-0319,441996,7699156,Monitoreo,NN,969.371,24,SNGM
109,Sara-Tirana D-81,SNGM-PTA-0320,426838,7751865,Monitoreo,NN,1005.347,80,SNGM
