ID;Pozo_DGA;Pozo;E;N;Tipo;Operador;Z;Profundidad;Info SNGM - Collar
85;Tarapaca X;SNGM-PTA-0179;418815;7758354;Monitoreo;No Identificado;1023.199;Sin informacion;SNGM
86;Puquio  Buena Esperanza 1;SNGM-PTA-0229;464434;7732537;Monitoreo;No Identificado;1290;21.82;Collar
87;HMC-1;SNGM-PTA-0230;443531;7756372;Monitoreo;No Identificado;1072;254;Collar
88;Cuminalla 494;SNGM-PTA-0232;443968;7756643;Bombeo;Aguas Nuevas;Sin informacion;130;Collar
89;HMC P-4;SNGM-PTA-0233;444135;7756745;Monitoreo;No Identificado;1084;132;Collar
90;Santa Rosita p053;SNGM-PTA-0274;466225;7729996;Monitoreo;No Identificado;1318.21;125.6;SNGM
91;San Martin p013;SNGM-PTA-0277;466290;7733033;Monitoreo;No Identificado;1338.895;83;SNGM
92;Concova AdP;SNGM-PTA-0278;466805;7734341;Monitoreo;No Identificado;1384.744;32;SNGM
93;San Martin p014;SNGM-PTA-0279;465560;7733107;Monitoreo;No Identificado;1309.398;37.2;SNGM
94;MERK-2;SNGM-PTA-0289;423134;7789482;Monitoreo;No Identificado;1108.522;86.6;SNGM
95;Pozo Almonte S-11;SNGM-PTA-0290;425149;7764278;Monitoreo;No Identificado;1040.093;45.05;SNGM
96;PiezÑmetro N-1;SNGM-PTA-0298;454241;7697663;Monitoreo;No Identificado;1032.726;Sin informacion;SNGM
97;PiezÑmetro N-5;SNGM-PTA-0299;449810;7696642;Monitoreo;No Identificado;987.741;Sin informacion;SNGM
98;PiezÑmetro N-10;SNGM-PTA-0300;448812;7695657;Monitoreo;No Identificado;977.637;Sin informacion;SNGM
99;PiezÑmetro R-1;SNGM-PTA-0301;452303;7695845;Monitoreo;No Identificado;1005.759;Sin informacion;SNGM
100;Caja Los H_roes;SNGM-PTA-0309;443093;7740526;Monitoreo;No Identificado;987.377;Sin informacion;SNGM
101;Pintados 237;SNGM-PTA-0310;432709;7726291;Monitoreo;No Identificado;972.126;6;SNGM
102;Pintados 254;SNGM-PTA-0311;432323;7720573;Monitoreo;No Identificado;969.83;Sin informacion;SNGM
103;Pintados 256;SNGM-PTA-0312;435285;7720323;Monitoreo;No Identificado;974.068;158;SNGM
104;Chacarilla 326;SNGM-PTA-0313;465956;7716211;Monitoreo;No Identificado;1284;882;Collar
105;Concova 219;SNGM-PTA-0314;468014;7735136;Monitoreo;No Identificado;1473.135;Sin informacion;SNGM
106;Recreo 7-1;SNGM-PTA-0315;433055;7732965;Monitoreo;No Identificado;981.167;Sin informacion;SNGM
107;XT-8;SNGM-PTA-0317;436059;7647759;Monitoreo;No Identificado;755.749;Sin informacion;SNGM
108;Bellavista 286;SNGM-PTA-0319;441996;7699156;Monitoreo;No Identificado;969.371;24;SNGM
109;Sara-Tirana D-81;SNGM-PTA-0320;426838;7751865;Monitoreo;No Identificado;1005.347;80;SNGM
110;Bellavista 276;SNGM-PTA-0321;438775;7708113;Monitoreo;No Identificado;972.064;20;SNGM
111;Sur Viejo 299;SNGM-PTA-0322;446851;7686038;Monitoreo;No Identificado;943.853;Sin informacion;SNGM
112;Hispania 138;SNGM-PTA-0323;432834;7739171;Monitoreo;No Identificado;986.212;106;SNGM
113;Bellavista 275;SNGM-PTA-0324;435660;7707124;Monitoreo;No Identificado;964.364;15;SNGM
114;L. Quispe D-167;SNGM-PTA-0325;440613;7735595;Monitoreo;No Identificado;980.543;Sin informacion;SNGM
115;Remolino A-19;SNGM-PTA-0326;410924;7820115;Monitoreo;No Identificado;1146.142;Sin informacion;SNGM
116;Remolino A-17;SNGM-PTA-0327;409143;7823328;Monitoreo;No Identificado;1142.039;Sin informacion;SNGM
117;Sur Viejo 298;SNGM-PTA-0328;437805;7687329;Monitoreo;No Identificado;920.236;Sin informacion;SNGM
118;San Genaro A-133;SNGM-PTA-0329;444327;7739346;Monitoreo;No Identificado;990.345;Sin informacion;SNGM
119;Pintados B-1;SNGM-PTA-0332;442874;7724828;Monitoreo;No Identificado;1000.054;61.18;SNGM
120;MC-007;SNGM-PTA-0334;432961;7636132;Monitoreo;No Identificado;748.554;Sin informacion;SNGM
121;Dupliza 492;SNGM-PTA-0336;435921;7767049;Monitoreo;No Identificado;1057.477;64.55;SNGM
122;D-290;SNGM-PTA-0339;426237;7695371;Monitoreo;No Identificado;943.759;7;SNGM
123;Espana 16;SNGM-PTA-0340;435803;7736189;Monitoreo;No Identificado;981.106;Sin informacion;SNGM
124;Pintados Noria;SNGM-PTA-0341;437146;7725702;Monitoreo;No Identificado;975.915;Sin informacion;SNGM
