ID,Pozo_DGA,Pozo,E,N,Tipo,Operador
94,MERK-2,SNGM-PTA-0289,423134,7789482,Monitoreo,Aguas Nuevas
95,Pozo Almonte S-11,SNGM-PTA-0290,425149,7764278,Monitoreo,DGA
96,Piezómetro N-1,SNGM-PTA-0298,454241,7697663,Monitoreo,Aguas Nuevas
97,Piezómetro N-5,SNGM-PTA-0299,449810,7696642,Monitoreo,DGA
98,Piezómetro N-10,SNGM-PTA-0300,448812,7695657,Monitoreo,Aguas Nuevas
99,Piezómetro R-1,SNGM-PTA-0301,452303,7695845,Monitoreo,DGA
100,Caja Los Héroes,SNGM-PTA-0309,443093,7740526,Monitoreo,Aguas Nuevas
101,Pintados 237,SNGM-PTA-0310,432709,7726291,Monitoreo,DGA
102,Pintados 254,SNGM-PTA-0311,432323,7720573,Monitoreo,Aguas Nuevas
103,Pintados 256,SNGM-PTA-0312,435285,7720323,Monitoreo,DGA
104,Chacarilla 326,SNGM-PTA-0313,465956,7716211,Monitoreo,Aguas Nuevas
105,Concova 219,SNGM-PTA-0314,468014,7735136,Monitoreo,DGA
106,Recreo 7-1,SNGM-PTA-0315,433055,7732965,Monitoreo,Aguas Nuevas
107,XT-8,SNGM-PTA-0317,436059,7647759,Monitoreo,DGA
108,Bellavista 286,SNGM-PTA-0319,441996,7699156,Monitoreo,Aguas Nuevas
109,Sara-Tirana D-81,SNGM-PTA-0320,426838,7751865,Monitoreo,DGA
110,Bellavista 276,SNGM-PTA-0321,438775,7708113,Monitoreo,Aguas Nuevas
111,Sur Viejo 299,SNGM-PTA-0322,446851,7686038,Monitoreo,DGA
112,Hispania 138,SNGM-PTA-0323,432834,7739171,Monitoreo,Aguas Nuevas
113,Bellavista 275,SNGM-PTA-0324,435660,7707124,Monitoreo,DGA
114,L. Quispe D-167,SNGM-PTA-0325,440613,7735595,Monitoreo,Aguas Nuevas
115,Remolino A-19,SNGM-PTA-0326,410924,7820115,Monitoreo,DGA
116,Remolino A-17,SNGM-PTA-0327,409143,7823328,Monitoreo,Aguas Nuevas
117,Sur Viejo 298,SNGM-PTA-0328,437805,7687329,Monitoreo,DGA
118,San Genaro A-133,SNGM-PTA-0329,444327,7739346,Monitoreo,Aguas Nuevas
119,Pintados B-1,SNGM-PTA-0332,442874,7724828,Monitoreo,DGA
120,MC-007,SNGM-PTA-0334,432961,7636132,Monitoreo,Aguas Nuevas
121,Dupliza 492,SNGM-PTA-0336,435921,7767049,Monitoreo,DGA
122,D-290,SNGM-PTA-0339,426237,7695371,Monitoreo,Aguas Nuevas
123,España 16,SNGM-PTA-0340,435803,7736189,Monitoreo,DGA
124,Pintados Noria,SNGM-PTA-0341,437146,7725702,Monitoreo,Aguas Nuevas
125,Matilla p077,SNGM-PTA-0342,461050,7731709,Monitoreo,DGA
126,Puquio Buena Esperanza 2,SNGM-PTA-0343,464391,7732579,Monitoreo,Aguas Nuevas
127,San Martín p009,SNGM-PTA-0344,466560,7733605,Monitoreo,DGA
128,HMC P-1,SNGM-PTA-0345,444167,7756525,Monitoreo,Aguas Nuevas
129,Miraflores p030,SNGM-PTA-0346,465245,7735888,Monitoreo,DGA
130,Miraflores Alto,SNGM-PTA-0347,468265,7735405,Monitoreo,Aguas Nuevas
131,Bajo Miraflores,SNGM-PTA-0348,465975,7734792,Monitoreo,DGA
132,Cumiña Alto de la Fuente,SNGM-PTA-0349,464893,7734833,Monitoreo,Aguas Nuevas
133,Valle Quisma Z. M.,SNGM-PTA-0350,463609,7730874,Monitoreo,DGA
134,DGA 123,SNGM-PTA-0352,427385,7738689,Monitoreo,Aguas Nuevas
135,Bellavista 271,SNGM-PTA-0354,435157,7711497,Monitoreo,DGA
136,S. Pintados 235,SNGM-PTA-0356,422814,7728428,Monitoreo,Aguas Nuevas
137,B. Junoy 230,SNGM-PTA-0358,433814,7731579,Monitoreo,DGA
138,Puquio Núñez 2,SNGM-PTA-0361,463434,7721588,Monitoreo,Aguas Nuevas
139,S/N (D-15),SNGM-PTA-0362,460681,7734909,Monitoreo,DGA
140,S/N (Pozo 18),SNGM-PTA-0365,459641,7735871,Monitoreo,Aguas Nuevas
141,Pica-Matilla p042,SNGM-PTA-0367,462909,7732370,Monitoreo,DGA
142,Puquio Santa Elena M.C.C.,SNGM-PTA-0368,463941,7733600,Monitoreo,Aguas Nuevas
143,Cumiña Alto p045,SNGM-PTA-0369,464095,7734671,Monitoreo,DGA
144,D-292,SNGM-PTA-0370,443398,7695173,Monitoreo,Aguas Nuevas
145,Gattavara P-1,SNGM-PTA-0371,434162,7754161,Monitoreo,DGA
146,La Tirana Salida,SNGM-PTA-0374,431822,7747570,Monitoreo,Aguas Nuevas
147,Nueva Esperanza,SNGM-PTA-0375,464287,7733013,Monitoreo,DGA
148,Concova San Alfonso p023,SNGM-PTA-0376,467276,7734696,Monitoreo,Aguas Nuevas
149,Parcela 2 Quisma,SNGM-PTA-0377,463849,7731095,Monitoreo,DGA
150,Matilla p047,SNGM-PTA-0378,460858,7732619,Monitoreo,Aguas Nuevas
151,La Tirana 20-6,SNGM-PTA-0382,434050,7752573,Monitoreo,DGA
152,CONAF-2468,SNGM-PTA-0383,429307,7731550,Monitoreo,Aguas Nuevas
153,B. Junoy 21-9,SNGM-PTA-0385,429660,7730567,Monitoreo,DGA
154,B. Junoy 22-10,SNGM-PTA-0386,428250,7741856,Monitoreo,Aguas Nuevas
155,CONAF-2428,SNGM-PTA-0387,427371,7741419,Monitoreo,DGA
156,Rodal-10,SNGM-PTA-0388,426223,7742505,Monitoreo,Aguas Nuevas
157,CONAF-2433,SNGM-PTA-0389,429938,7739493,Monitoreo,DGA
158,Algarrobal 2,SNGM-PTA-0390,429778,7736530,Monitoreo,Aguas Nuevas
159,B. Junoy 22-15,SNGM-PTA-0391,431310,7737403,Monitoreo,DGA
160,CONAF-2455,SNGM-PTA-0392,433921,7734534,Monitoreo,Aguas Nuevas
161,Esperanza 1,SNGM-PTA-0393,433275,7730235,Monitoreo,DGA
